epoch,tloss,vloss
0,1.0,0.271036315323295
0,0.27999999999999997,0.4641275465013286
0,0.485,0.5296722763507529
0,0.5,0.1682905225863596
0,0.1375,0.14968999114260406
0,0.14125000000000001,0.12843224092116917
0,0.12374999999999999,0.1488042515500443
0,0.14500000000000002,0.12931798051372898
0,0.10625,0.13906111603188662
0,0.1325,0.11160318866253321
0,0.1025,0.13020372010628875
0,0.11750000000000001,0.1133746678476528
0,0.11745762711864406,0.1133746678476528
1,1.0,0.1479185119574845
1,0.155,0.15589016829052257
1,0.14125000000000001,0.18777679362267494
1,0.1875,0.4977856510186005
1,0.485,0.4650132860938884
1,0.49499999999999994,0.4295837023914969
1,0.4575,0.2993799822852081
1,0.2925,0.25066430469441986
1,0.29875,0.17803365810451727
1,0.165,0.17094774136403898
1,0.17875,0.1204605845881311
1,0.1075,0.12843224092116917
1,0.11745762711864406,0.11868910540301152
2,1.0,0.2604074402125775
2,0.26875,0.4641275465013286
2,0.47750000000000004,0.5314437555358724
2,0.49,0.14968999114260406
2,0.13750000000000004,0.17183348095659876
2,0.17999999999999997,0.13197519929140833
2,0.12125000000000001,0.15677590788308238
2,0.16125,0.12223206377325066
2,0.11624999999999999,0.14968999114260406
2,0.1725,0.11603188662533215
2,0.11375,0.15589016829052257
2,0.19499999999999998,0.24269264836138174
2,0.24056497175141245,0.2816651904340124
3,1.0,0.16209034543844109
3,0.15625,0.15677590788308238
3,0.17375,0.15323294951284322
3,0.15500000000000003,0.27015057573073514
3,0.285,0.4650132860938884
3,0.49624999999999997,0.5296722763507529
3,0.49,0.13906111603188662
3,0.11749999999999998,0.1328609388839681
3,0.12,0.13640389725420726
3,0.1325,0.13020372010628875
3,0.11499999999999998,0.13020372010628875
3,0.12375,0.11691762621789194
3,0.132090395480226,0.1133746678476528
4,0.11624999999999999,0.11691762621789194
4,0.105,0.10008857395925598
4,0.08374999999999999,0.112488928255093
4,0.12875,0.09034543844109831
4,0.1,0.1275465013286094
4,0.14750000000000002,0.15943312666076173
4,0.17625,0.3232949512843224
4,0.3275,0.4508414526129318
4,0.41625,0.4295837023914969
4,0.41875,0.1612046058458813
4,0.16375,0.1328609388839681
4,0.13999999999999999,0.112488928255093
4,0.09194915254237286,0.09654561558901682
5,0.07500000000000001,0.11603188662533215
5,0.09874999999999999,0.112488928255093
5,0.10874999999999999,0.08680248007085917
5,0.095,0.09211691762621789
5,0.09874999999999999,0.08591674047829938
5,0.09625,0.09920283436669619
5,0.08499999999999999,0.08503100088573959
5,0.07875,0.07528786536758193
5,0.085,0.09388839681133747
5,0.0875,0.07351638618246235
5,0.065,0.08325952170062002
5,0.07125000000000001,0.06997342781222321
5,0.056158192090395485,0.07794508414526129
6,0.0675,0.07794508414526129
6,0.07125000000000001,0.06820194862710363
6,0.07125,0.07263064658990256
6,0.07375000000000001,0.07440212577502214
6,0.08125000000000002,0.14260407440212577
6,0.14125000000000001,0.1824623560673162
6,0.20624999999999996,0.3941541186891054
6,0.3825,0.43932683790965454
6,0.42500000000000004,0.4038972542072631
6,0.3925,0.13728963684676704
6,0.14875,0.10894596988485385
6,0.1125,0.10097431355181577
6,0.09861581920903954,0.1133746678476528
7,0.11124999999999999,0.09654561558901682
7,0.07999999999999999,0.09743135518157661
7,0.0925,0.08325952170062002
7,0.085,0.08857395925597875
